ID,Text,Translation,VoiceActor,Context
887406599613,Game Settings,,,
623739770783,"<class><opt(u(RequiredClassesFormatted),' ','')>","<class><opt(u(RequiredClassesFormatted),' ','')>",,
410957252932,<textcolor><text></color>,<textcolor><text></color>,,
964541079092,Comment,,,
200174645592,Enter Mod Title,,,
112659155240,No name provided,,,
970080750583,Error opening <ModLabel> for editing: cannot open unpacked mods,,,
521819598348,Confirm Copy,,,
814173350691,Mod '<u(title)>' files will be copied to <u(path)>,,,
348544010518,Copying <ModLabel> to <u(path)>,,,
311163830130,Error creating folder <u(folder)>: <u(err)>,,,
403285832388,Error copying <u(file)>: <u(err)>,,,
600384081290,Error looking up files of <ModLabel>: <u(err)>,,,
836115199867,Error looking up folders of <ModLabel>: <u(err)>,,,
578088043400,Error copying <ModLabel>: <u(err)>,,,
820846615088,Do you want to delete all <ModLabel> files?,,,
435161105463,Please confirm the deletion of item '<u(name)>'!,,,
621296865915,"Are you sure you want to delete the following <u(number_of_items)> selected items?
<u(items)>",,,
986829419084,Confirmation,,,
243097197797,Failed creating content package file (<err>),,,Mod upload error
561889745203,Mod <ModLabel> was successfully uploaded!,,,
164802745041,"The following mods couldn't be loaded. Open the mod manager for more information:
",,,
675270242132,<errorT><em><mods_list></em>,<errorT><em><mods_list></em>,,
306573510595,Mod Loaded with Errors,,,
560233458867,"Mod <em><u(literal(title))></em>:
<u(literal(errs))>",,,
674857971939,<u(name)>,<u(name)>,,
949870544095,"The following mods will not be loaded because of missing or incompatible mods that they require:

<skipped>",,,
711775436656,"The following mods are now deprecated. They have been integrated into the base game and will be automatically disabled:
<em><u(mods_list)></em>",,,
872385252314,"The following mods have been blacklisted and automatically blocked:
<em><u(mods_list)></em>",,,
942032529432,"<deprecated>

<banned>","<deprecated>

<banned>",,
784547514723,Ok,,,
677060079613,<u(language)>,<u(language)>,,
744151871819,Modify <u(SubObjectEditorView)><u(prop)><AddEditorView><MulEditorView> <u(id)>,,,
768699500779,Critical Error,,,
676315741793,Unspecified error occurred (code %s1). The game will now close.,,,
622236701127,You need a supported DX11-compatible video card with updated drivers to play this game.,,,
838205552015,Failed to initialize video mode.,,,
224174170996,You need DirectX 11/12 and a DirectX 11/12-compatible graphics card to run this game.,,,
564352332891,You need an OpenGL 4.5-capable graphics card to run this game.,,,
595831467700,Failed to initialize graphics subsystem.,,,
463126936264,"An error has occurred: ""<err>/<context>""",,,
519529788732,Some downloadable content requires a game update in order to work.,,,
631831331619,File is corrupted.,,,
950959678764,File not found.,,,
639145562955,Mount not found.,,,
157438408284,Access denied.,,,
311342666009,Invalid parameter.,,,
932157256532,Out of memory.,,,
493581690114,File already exists.,,,
320309712530,Storage is not initialized.,,,
843835835267,Storage is busy.,,,
462819971888,Storage fingerprint mismatch.,,,
686870623950,Savegame internal error.,,,
557131064264,Storage mount is full.,,,
147878217218,Faulty storage mount.,,,
739959355591,Invalid storage user.,,,
850329789527,Storage memory is not ready.,,,
166996754616,Storage is not mounted.,,,
392924077757,Failed to save your settings,,,
477874811467,"There is not enough storage space. To save your settings, free storage space.",,,
947319053929,"The save data limit for this game was reached. To save your settings, delete old save data.",,,
698174397420,"Failed to load your game settings. ""<savename>"" save data will be deleted and new save data will be created.",,,
250310486356,"Failed to load your game settings. ""<savename>"" save data is corrupted. This save data will be deleted and new save data will be created.",,,
468273295904,"Rolled back to previous game settings. Failed to load ""<savename>"" save data.",,,
296060091337,"Rolled back to previous game settings. ""<savename>"" save data is missing.",,,
235370130285,"Failed to roll back to previous game settings. Previous ""<savename>"" save data will be deleted and new save data will be created.",,,
727832925180,"Failed to roll back to previous game settings. Previous ""<savename>"" save data is corrupted. This save data will be deleted and new save data will be created.",,,
606901390406,Save Failed,,,
408428310307,Unidentified error while saving <savename>!<newline>Error code: <error_code>,,,
269487733043,"There is not enough storage space. To save your progress, free storage space.",,,
758106651114,"The save data limit for this game was reached. To save your progress, delete old save data.",,,
898462935482,"The local storage of this console is full. To save your progress, free storage space.",,,
307531266745,Load Failed,,,
209917042810,Could not load <name>.,,,
620584534835,Could not load <name>.<newline>The savegame is corrupted.,,,
726428638755,The savegame is corrupted.,,,
293964617315,There has been a problem with connecting to the cloud savegame storage at this time.,,,
109901281893,Unable to delete <name>,,,
797434507583,Failed to take screenshot,,,
433967674729,",",",",,thousands separator
699854757080,Brazilian Portuguese,,,
385829073168,Bulgarian,,,
552240423015,Czech,,,
782416127227,Danish,,,
675114896426,Dutch,,,
147611982706,English,,,
283206621979,Finnish,,,
170273676234,French,,,
505552009073,German,,,
646055054297,Hungarian,,,
596539604344,Indonesian,,,
330877865785,Italian,,,
527962174587,Japanese,,,
585811408758,Korean,,,
369233670775,Norwegian,,,
197791212449,Polish,,,
661132086100,Portuguese,,,
375694388084,Romanian,,,
794451731349,Russian,,,
465743231919,Chinese (Simplified),,,
277226277909,Spanish (Spain),,,
342769994919,Spanish (Latin America),,,
487752404194,Swedish,,,
508880261610,Chinese (Traditional),,,
681908731541,Thai,,,
218295023775,Turkish,,,
388818321440,Auto,,,
651365107459,", ",", ",,list separator
644,Low,,,
7375,High,,,
709029849246,Quality,,,
731233321844,Performance,,,
6843,*Custom,,,
443238066363,Windowed,,,Options dialog fullscreen mode
873558273070,Fullscreen,,,Options dialog fullscreen mode
206424973826,FPS,,,options: frame limit
715166204973,Unlimited,,,options: frame limit
549548241533,Off,,,
336462699824,On,,,
347421390938,Off,,,options:SSR is off
967597583816,Low,,,options:SSR is turned to low
711881918198,Medium,,,options:SSR is turned to Medium
350030693801,High,,,options:SSR is turned to high
363062651990,Ultra,,,options:SSR is turned to Ultra
897923163870,Off,,,options:Bloom is off
962119091084,On,,,options:Bloom is on
764902318645,Off,,,options:Eye Adaptation is off
310678453010,On,,,options:Eye Adaptation is on
173515508906,Off,,,options:Vignette is off
724497759523,On,,,options:Vignette is on
535014732326,Off,,,options:Chromatic Aberration is off
945084644408,On,,,options:Chromatic Aberration is on
290121664929,Off,,,options:FPS counter is off
783476822556,FPS,,,options:FPS counter shows frames per second
271886807258,ms,,,options:FPS counter shows miliseconds
812680094837,Low,,,options:Texture quality is set to Low
645,Medium,,,options:Texture quality is set to Medium
396237728087,High,,,options:Texture quality is set to High
324283091069,Ultra,,,options:Texture quality is set to Ultra
619416576830,Low,,,options:Terrain detail is set to Low
482982848821,Medium,,,options:Terrain detail is set to Medium
424607201144,High,,,options:Terrain detail is set to High
